"timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain"
"2021-03-30 01:15:16.469781,185,58,0,157,21,4.838318505812618,7,8,34,22.25,0,0,178,1,0:00:00.232789,1,0"
"2021-03-30 01:15:16.502053,179,61,0,152,20,4.886250673721528,7,8,39,21.5,0,0,172,1,0,0,0"
"2021-03-30 01:15:16.685895,179,61,0,152,20,4.886250673721528,7,8,39,21.5,0,0,172,1,0:00:00.183842,1,0"
"2021-03-30 01:15:16.707083,157,58,0,129,22,4.794861578238096,6,7,31,21.571428571428573,0,0,151,1,0,0,0"
"2021-03-30 01:15:16.896679,157,58,0,129,22,4.794861578238096,6,7,31,21.571428571428573,0,0,151,1,0:00:00.189596,1,0"
"2021-03-30 01:15:16.925627,66,50,0,57,6,4.371611877026514,3,4,26,15.75,0,0,63,1,0,0,0"
"2021-03-30 01:15:17.115822,66,50,0,57,6,4.371611877026514,3,4,26,15.75,0,0,63,1,0:00:00.190195,1,0"
"2021-03-30 01:15:17.160339,72,56,0,60,9,4.27032665677009,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:17.378882,72,56,0,60,9,4.27032665677009,3,4,29,17.25,0,0,69,1,0:00:00.218543,1,0"
"2021-03-30 01:15:17.410903,72,56,0,64,5,4.140831935599502,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:17.693641,72,56,0,64,5,4.140831935599502,3,4,29,17.25,0,0,69,1,0:00:00.282738,1,0"
"2021-03-30 01:15:17.752328,72,56,0,64,5,4.103659990103423,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:17.994081,72,56,0,64,5,4.103659990103423,3,4,29,17.25,0,0,69,1,0:00:00.241753,1,0"
"2021-03-30 01:15:18.019085,72,56,0,63,6,4.167994925228178,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:18.300739,72,56,0,63,6,4.167994925228178,3,4,29,17.25,0,0,69,1,0:00:00.281654,1,0"
"2021-03-30 01:15:18.330995,72,56,0,64,5,4.058588983189026,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:18.612823,72,56,0,64,5,4.058588983189026,3,4,29,17.25,0,0,69,1,0:00:00.281828,1,0"
"2021-03-30 01:15:18.661195,72,56,0,58,11,3.9611381486947392,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:18.831767,72,56,0,58,11,3.9611381486947392,3,4,29,17.25,0,0,69,1,0:00:00.170572,1,0"
"2021-03-30 01:15:18.880233,72,56,0,61,8,4.3937087313135335,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:19.047722,72,56,0,61,8,4.3937087313135335,3,4,29,17.25,0,0,69,1,0:00:00.167489,1,0"
"2021-03-30 01:15:19.080760,72,56,0,59,10,4.363022828827345,3,4,29,17.25,0,0,69,1,0,0,0"
